image,status,color_label,colored_ratio,angular_coverage,ring_r_in_px,ring_r_out_px,sat_threshold,center_x,center_y,error
fail_1.jpg,fail,orange,0.765766,0.838889,158,194,159.000,557.15,494.45,
fail_2.jpg,fail,orange,0.706934,0.708333,157,193,118.000,560.45,490.05,
PXL_20260209_120141787_roi.jpg,pass,green,0.999085,1.000000,155,193,105.000,549.45,538.45,
PXL_20260209_120146305_roi.jpg,pass,green,0.944182,1.000000,156,192,98.000,504.35,710.05,
PXL_20260209_120201736_roi.jpg,pass,orange,0.882697,1.000000,152,195,81.000,550.55,591.25,
PXL_20260209_120211408_roi.jpg,pass,orange,0.860160,0.950000,153,189,169.000,543.95,484.55,
PXL_20260209_120240942_roi.jpg,pass,yellow,0.929427,1.000000,163,210,96.000,458.15,469.15,
PXL_20260209_120242538.MACRO_FOCUS_roi.jpg,pass,yellow,0.975844,1.000000,180,225,100.000,517.55,294.25,
PXL_20260209_120249190_roi.jpg,pass,green,0.998540,1.000000,97,121,96.000,547.25,510.95,
PXL_20260209_120310559_roi.jpg,pass,green,0.996942,1.000000,127,160,95.000,612.15,477.95,
PXL_20260209_120341001_roi.jpg,pass,orange,0.997628,1.000000,97,121,109.000,527.45,463.65,
PXL_20260209_120347110_roi.jpg,pass,red,0.862147,1.000000,97,121,139.000,527.45,530.75,
PXL_20260209_120351064_roi.jpg,pass,red,0.885533,1.000000,129,164,119.000,586.85,484.55,
PXL_20260209_120355740_roi.jpg,pass,red,0.990028,1.000000,122,151,66.000,486.75,501.05,
PXL_20260209_120521106_roi.jpg,pass,orange,0.960541,1.000000,133,164,84.000,460.35,485.65,
PXL_20260209_120542556_roi.jpg,pass,orange,0.988296,1.000000,80,99,95.000,494.45,496.65,
